iter	Passed	Remaining
769	3912	1168
770	3916	1163
771	3921	1158
772	3925	1152
773	3929	1147
774	3933	1142
775	3938	1136
776	3942	1131
777	3946	1126
778	3950	1120
779	3954	1115
780	3959	1110
781	3963	1104
782	3967	1099
783	3971	1094
784	3976	1089
785	3980	1083
786	3984	1078
787	3988	1073
788	3993	1067
789	3997	1062
790	4001	1057
791	4006	1052
792	4010	1046
793	4014	1041
794	4018	1036
795	4023	1031
796	4027	1025
797	4031	1020
798	4035	1015
799	4039	1009
800	4043	1004
801	4048	999
802	4052	994
803	4056	988
804	4061	983
805	4065	978
806	4069	973
807	4074	968
808	4078	962
809	4083	957
810	4087	952
811	4091	947
812	4095	942
813	4100	936
814	4104	931
815	4108	926
816	4113	921
817	4117	916
818	4121	910
819	4125	905
820	4130	900
821	4134	895
822	4138	890
823	4143	884
824	4147	879
825	4152	874
826	4156	869
827	4160	864
828	4164	859
829	4169	853
830	4173	848
831	4177	843
832	4181	838
833	4185	833
834	4190	828
835	4194	822
836	4198	817
837	4202	812
838	4207	807
839	4211	802
840	4215	797
841	4219	791
842	4223	786
843	4228	781
844	4232	776
845	4236	771
846	4240	766
847	4244	760
848	4247	755
849	4252	750
850	4256	745
851	4261	740
852	4265	735
853	4269	729
854	4273	724
855	4278	719
856	4282	714
857	4286	709
858	4290	704
859	4295	699
860	4299	694
861	4303	688
862	4307	683
863	4311	678
864	4316	673
865	4320	668
866	4324	663
867	4328	658
868	4332	653
869	4337	648
870	4341	642
871	4345	637
872	4349	632
873	4354	627
874	4358	622
875	4362	617
876	4366	612
877	4370	607
878	4374	602
879	4379	597
880	4383	592
881	4387	587
882	4391	581
883	4396	576
884	4400	571
885	4404	566
886	4409	561
887	4415	556
888	4420	551
889	4425	546
890	4430	542
891	4435	537
892	4440	532
893	4445	527
894	4450	522
895	4455	517
896	4460	512
897	4465	507
898	4469	502
899	4475	497
900	4480	492
901	4485	487
902	4489	482
903	4493	477
904	4498	472
905	4502	467
906	4507	462
907	4511	457
908	4515	452
909	4519	447
910	4524	441
911	4528	436
912	4532	431
913	4536	426
914	4540	421
915	4544	416
916	4548	411
917	4553	406
918	4557	401
919	4561	396
920	4565	391
